Name,Rank,Website
JetBlue Airways,405,http://www.jetblue.com
Discovery Communications,406,http://www.discoverycommunications.com
Trinity Industries,407,http://www.trin.net
Sanmina,408,http://www.sanmina.com
NCR,409,http://www.ncr.com
FMC Technologies,410,http://www.fmctechnologies.com
Erie Insurance Group,411,http://www.erieinsurance.com
Rockwell Automation,412,http://www.rockwellautomation.com
Dr Pepper Snapple Group,413,http://www.drpeppersnapplegroup.com
iHeartMedia,414,http://www.iheartmedia.com
Tractor Supply,415,http://www.tractorsupply.com
J.B. Hunt Transport Services,416,http://www.jbhunt.com
Commercial Metals,417,http://www.cmc.com
Owens-Illinois,418,http://www.o-i.com
Harman International Industries,419,http://www.harman.com
Baxalta,420,http://www.baxalta.com
American Financial Group,421,http://www.afginc.com
NetApp,422,http://www.netapp.com
Graybar Electric,423,http://www.graybar.com
Oshkosh,424,http://www.oshkoshcorporation.com
Ameren,425,http://www.ameren.com
A-Mark Precious Metals,426,http://www.amark.com
Barnes & Noble,427,http://www.barnesandnobleinc.com
Dana Holding,428,http://www.dana.com
Constellation Brands,429,http://www.cbrands.com
LifePoint Health,430,http://www.lifepointhealth.net
Zimmer Biomet Holdings,431,http://www.zimmerbiomet.com
Harley-Davidson,432,http://www.harley-davidson.com
PulteGroup,433,http://www.pultegroupinc.com
Newell Brands,434,http://www.newellbrands.com
Avery Dennison,435,http://www.averydennison.com
Jones Lang LaSalle,436,http://www.jll.com
WEC Energy Group,437,http://www.wecenergygroup.com
Marathon Oil,438,http://www.marathonoil.com
TravelCenters of America,439,http://www.ta-petrol.com
United Rentals,440,http://www.unitedrentals.com
HRG Group,441,http://www.hrggroup.com
Old Republic International,442,http://www.oldrepublic.com
Windstream Holdings,443,http://www.windstream.com
Starwood Hotels & Resorts,444,http://www.starwoodhotels.com
Delek US Holdings,445,http://www.delekus.com
Packaging Corp. of America,446,http://www.packagingcorp.com
Quintiles IMS Holdings,447,http://www.quintilesims.com
Hanesbrands,448,http://www.hanes.com
Realogy Holdings,449,http://www.realogy.com
Mattel,450,http://www.corporate.mattel.com
Motorola Solutions,451,http://www.motorolasolutions.com
J.M. Smucker,452,http://www.jmsmucker.com
Regions Financial,453,http://www.regions.com
Celanese,453,http://www.celanese.com
Clorox,455,http://www.thecloroxcompany.com
Ingredion,456,http://www.ingredion.com
Genesis Healthcare,457,http://www.genesishcc.com
Peabody Energy,458,http://www.peabodyenergy.com
Alaska Air Group,459,http://www.alaskaair.com
Seaboard,460,http://www.seaboardcorp.com
Frontier Communications,461,http://www.frontier.com
Amphenol,462,http://www.amphenol.com
Lansing Trade Group,463,http://www.lansingtradegroup.com
SanDisk,464,http://www.sandisk.com
St. Jude Medical,465,http://www.sjm.com
Wyndham Worldwide,466,http://www.wyndhamworldwide.com
Kelly Services,467,http://www.kellyservices.com
Western Union,468,http://www.westernunion.com
Envision Healthcare Holdings,469,http://www.evhc.net
Visteon,470,http://www.visteon.com
Arthur J. Gallagher,471,http://www.ajg.com
Host Hotels & Resorts,472,http://www.hosthotels.com
Ashland,472,http://www.ashland.com
Insight Enterprises,474,http://www.insight.com
Energy Future Holdings,475,http://www.energyfutureholdings.com
Markel,476,http://www.markelcorp.com
Essendant,477,http://www.essendant.com
CH2M Hill,478,http://www.ch2m.com
Western & Southern Financial Group,479,http://www.westernsouthern.com
Owens Corning,480,http://www.owenscorning.com
S&P Global,481,http://www.spglobal.com
Raymond James Financial,482,http://www.raymondjames.com
NiSource,483,http://www.nisource.com
Airgas,484,http://www.airgas.com
ABM Industries,485,http://www.abm.com
Citizens Financial Group,486,http://www.citizensbank.com
Booz Allen Hamilton Holding,487,http://www.boozallen.com
Simon Property Group,488,http://www.simon.com
Domtar,489,http://www.domtar.com
Rockwell Collins,490,http://www.rockwellcollins.com
Lam Research,491,http://www.lamresearch.com
Fiserv,492,http://www.fiserv.com
Spectra Energy,493,http://www.spectraenergy.com
Navient,494,http://www.navient.com
Big Lots,495,http://www.biglots.com
Telephone & Data Systems,496,http://www.tdsinc.com
First American Financial,497,http://www.firstam.com
NVR,498,http://www.nvrinc.com
Cincinnati Financial,499,http://www.cinfin.com
Burlington Stores,500,http://www.burlingtonstores.com
KBR,501,http://www.kbr.com
Neiman Marcus Group,502,http://www.neimanmarcusgroup.com
Robert Half International,503,http://www.roberthalf.com
Leidos Holdings,504,http://www.leidos.com
Harris,505,http://www.harris.com
Hanover Insurance Group,506,http://www.hanover.com
Pepco Holdings,507,http://www.pepcoholdings.com
Nvidia,508,http://www.nvidia.com
Alleghany,509,http://www.alleghany.com
M&T Bank Corp.,510,http://www.mtb.com
Rush Enterprises,511,http://www.rushenterprises.com
Williams-Sonoma,512,http://www.williams-sonomainc.com
Yahoo,513,http://www.yahoo.com
Sonoco Products,514,http://www.sonoco.com
Brookdale Senior Living,515,http://www.brookdale.com
Tutor Perini,516,http://www.tutorperini.com
Michaels Cos.,517,http://www.michaels.com
Berry Plastics Group,518,http://www.berryplastics.com
Juniper Networks,519,http://www.juniper.net
Northern Trust,520,http://www.northerntrust.com
YRC Worldwide,521,http://www.yrcw.com
Pioneer Natural Resources,522,http://www.pxd.com
Ascena Retail Group,523,http://www.ascenaretail.com
Adobe Systems,524,http://www.adobe.com
Liberty Media,525,http://www.libertymedia.com
American Tower,526,http://www.americantower.com
Zoetis,527,http://www.zoetis.com
Polaris Industries,528,http://www.polaris.com
Intercontinental Exchange,529,http://www.theice.com
Quad/Graphics,530,http://www.qg.com
AmTrust Financial Services,531,http://www.amtrustgroup.com
Activision Blizzard,532,http://www.activisionblizzard.com
Fortune Brands Home & Security,533,http://www.fbhs.com
Caesars Entertainment,534,http://www.caesars.com
Post Holdings,535,http://www.postholdings.com
Blackstone Group,536,http://www.blackstone.com
Magellan Health,537,http://www.magellanhealth.com
RPM International,538,http://www.rpminc.com
Flowserve,539,http://www.flowserve.com
KeyCorp,540,http://www.key.com
MRC Global,541,http://www.mrcglobal.com
Keurig Green Mountain,542,http://www.keuriggreenmountain.com
Electronic Arts,543,http://www.ea.com
General Cable,544,http://www.generalcable.com
Cintas,545,http://www.cintas.com
Chipotle Mexican Grill,546,http://www.chipotle.com
Levi Strauss,547,http://www.levistrauss.com
Talen Energy,548,http://www.talenenergy.com
Westlake Chemical,549,http://www.westlake.com
Hasbro,550,http://www.hasbro.com
Securian Financial Group,551,http://www.securian.com
Intuit,552,http://www.intuit.com
