NAME,RANK (2014),RANK (2013),CEO,WEBSITE,STREETADD,PLACE,ZIP,STATE,X,Y
Johnson & Johnson,39,41,Alex Gorsky,www.jnj.com,1 Johnson & Johnson Plaza,New Brunswick,8933,NJ,-74.44277617,40.49827333
American International Group,40,38,Robert H. Benmosche,www.aig.com,175 Water St.,New York,10038,NY,-74.00510657,40.70656768
State Farm Insurance Cos.,41,44,Edward B. Rust Jr.,www.statefarm.com,1 State Farm Plaza,Bloomington,61710,IL,-88.95439856,40.47816664
MetLife,42,40,Steven A. Kandarian,www.metlife.com,200 Park Ave.,New York,10166,NY,-73.97656419,40.75352157
PepsiCo,43,43,Indra K. Nooyi,www.pepsico.com,700 Anderson Hill Rd.,Purchase,10577,NY,-73.69291246,41.03451019
Comcast,44,46,Brian L. Roberts,www.comcastcorporation.co,1 Comcast Center,Philadelphia,19103,PA,-75.16849541,39.95470602
United Technologies,45,50,Louis R. Chenevert,www.utc.com,1 Financial Plaza,Hartford,6101,CT,-72.67388346,41.76546233
Google,46,55,Larry Page,www.google.com,1600 Amphitheatre Pkwy.,Mountain View,94043,CA,-122.0839741,37.42200441
ConocoPhillips,47,45,Ryan M. Lance,www.conocophillips.com,600 N. Dairy Ashford St.,Houston,77079,TX,-95.6143749,29.78905676
Dow Chemical,48,52,Andrew N. Liveris,www.dow.com,2030 Dow Center,Midland,48674,MI,-84.19592341,43.61295919
Caterpillar,49,42,Douglas R. Oberhelman,www.caterpillar.com,100 N.E. Adams St.,Peoria,61629,IL,-89.58840889,40.69172647
United Parcel Service,50,53,D. Scott Davis,www.ups.com,55 Glenlake Pkwy. N.E.,Atlanta,30328,GA,-84.36019511,33.94320087
Pfizer,51,48,Ian C. Read,www.pfizer.com,235 E. 42nd St.,New York,10017,NY,-73.97265553,40.75030769
Lowe's Companies,52,56,Robert A. Niblock,www.lowes.com,1000 Lowe's Blvd.,Mooresville,28117,NC,-80.85295685,35.54321099
Intel Corporation,53,54,Brian Krzanich,www.intel.com,2200 Mission College Blvd.,Santa Clara,95054,CA,-121.9637852,37.38758709
"Energy Transfer Equity, L.P.",54,161,John W. McReynolds,www.energytransfer.com,3738 Oak Lawn Ave.,Dallas,75219,TX,-96.80290315,32.81380185
"Cisco Systems, Inc.",55,60,John T. Chambers,www.cisco.com,170 W. Tasman Dr.,San Jose,95134,CA,-121.9539606,37.40844284
Enterprise Products Partners L.P.,56,64,Michael A. Creel,www.enterpriseproducts.co,1100 Louisiana St.,Houston,77002,TX,-95.36893667,29.75763854
Aetna Inc.,57,84,Mark T. Bertolini,www.aetna.com,151 Farmington Ave.,Hartford,6156,CT,-72.68958916,41.767956
The Coca-Cola Company,58,57,Muhtar Kent,www.coca-colacompany.com,1 Coca-Cola Plaza,Atlanta,30313,GA,-84.39726299,33.77113465
Lockheed Martin Corporation,59,59,Marillyn A. Hewson,www.lockheedmartin.com,6801 Rockledge Dr.,Bethesda,20817,MD,-77.13894278,39.0309907
"Best Buy Co., Inc.",60,61,Hubert B. Joly,www.bestbuy.com,7601 Penn Ave. S.,Richfield,55423,MN,-93.30656807,44.86456892
The Walt Disney Company,61,66,Robert A. Iger,www.disney.com,500 S. Buena Vista St.,Burbank,91521,CA,-118.3252121,34.15620571
CHS Inc.,62,69,Carl M. Casale,www.chsinc.com,5500 Cenex Dr.,Inver Grove Height,55077,MN,-93.06281716,44.86942815
Sysco Corporation,63,65,William J. DeLaney III,www.sysco.com,1390 Enclave Pkwy.,Houston,77077,TX,-95.619897,29.75849718
FedEx Corporation,64,63,Frederick W. Smith,www.fedex.com,942 S. Shady Grove Rd.,Memphis,38120,TN,-89.85831194,35.10565294
"Merck & Co., Inc.",65,58,Kenneth C. Frazier,www.merck.com,1 Merck Dr.,Whitehouse Station,8889,NJ,-74.7735212,40.64062669
INTL FCStone Inc.,66,39,Sean M. O'Connor,www.intlfcstone.com,708 Third Ave.,New York,10017,NY,-73.97367937,40.75244884
Safeway Inc.,67,62,Robert L. Edwards,www.safeway.com,5918 Stoneridge Mall Rd.,Pleasanton,94588,CA,-121.930912,37.69798341
"Johnson Controls, Inc.",68,67,Alex A. Molinaroli,www.johnsoncontrols.com,5757 N. Green Bay Ave.,Milwaukee,53209,WI,-87.93873894,43.12464458
Ingram Micro Inc.,69,76,Alain Moni??,www.ingrammicro.com,1600 E. St. Andrew Place,Santa Ana,92705,CA,-117.8476469,33.72232099
"Plains GP Holdings, L.P.",70,0,Greg L. Armstrong,www.plainsallamerican.com,333 Clay St.,Houston,77002,TX,-95.42342613,29.75867758
World Fuel Services Corporation,71,74,Michael J. Kasbar,www.wfscorp.com,9800 N.W. 41st St.,Miami,33178,FL,-80.35551985,25.81053509
"Prudential Financial, Inc.",72,29,John R. Strangfeld Jr.,www.prudential.com,751 Broad St.,Newark,7102,NJ,-74.1716913,40.73664209
Humana Inc.,73,73,Bruce D. Broussard,www.humana.com,500 W. Main St.,Louisville,40202,KY,-85.75889279,38.25646941
"The Goldman Sachs Group, Inc.",74,68,Lloyd C. Blankfein,www.gs.com,200 West St.,New York,10282,NY,-74.01420337,40.71485089
Tesoro Corporation,75,95,Gregory J. Goff,www.tsocorp.com,19100 Ridgewood Pkwy.,San Antonio,78259,TX,-98.45839733,29.61632443
Liberty Mutual Holding Company Inc.,76,81,David H. Long,www.libertymutual.com,175 Berkeley St.,Boston,2116,MA,-71.07208442,42.3500658
