Fortune Company,Fortune Rank,Fortune Domain,Publisher Name,Actual iOS Publisher ID,,x = unable to correct
Intuit,552,intuit.com,Intuit Inc.,,,
General Mills,161,generalmills.com,General Mills Inc.,,,
Google,36,google.com,"Google, Inc.",,,
Ingram Micro,64,ingrammicro.com,Mobile 72 SL,x,,
Target,38,target.com,Target,,,
HP,20,hp.com,Hewlett Packard Enterprise Company,,,
Xerox,150,xerox.com,Xerox Corporation,,,
Hertz,269,hertz.com,The Hertz Corporation,,,
Level 3 Communications,333,level3.com,"Level 3 Communications, LLC",,,
L-3 Communications,245,l-3com.com,L-3 Avionics Systems,427038,,
L-3 Communications,245,l-3com.com,Whitty Apps LLC,427038,,
Disney,53,disney.com,Marvel Entertainment,,,
Bristol-Myers Squibb,168,bms.com,"Relacion, Inc.",209111,,
J.B. Hunt Transport Services,416,jbhunt.com,"J.B. Hunt Transport, Inc.",,,
AT&T,10,att.com,"AT&T Services, Inc.",,,
Nuance Communications,984,nuance.com,Nuance Communications,,,
Nuance Communications,984,nuance.com,Kelly Donathan,34251,,
Raytheon,120,raytheon.com,Raytheon,,,
Bristol-Myers Squibb,168,bms.com,i-camp engineering OOO,209111,,
Cinemark,762,cinemark.com,Various Neville,250774,,
3M,93,3m.com,3M Company,,,
3M,93,3m.com,PAVEL PLATIL animation studios s.r.o.,15188,,
Norfolk Southern,270,nscorp.com,ALIENS CORPORATION SP Z O O,55383,,
Ingram Micro,64,ingrammicro.com,Deform Studio LLC,x,,
International Paper,127,internationalpaper.com,International Paper Company,,,
Molson Coors,636,molsoncoors.com,Molson Coors Brewing Company,,,
Microsoft,25,microsoft.com,"Whalerock Digital Media, LLC",34621,,
Motorola Solutions,451,motorolasolutions.com,"Twisted Pair Solutions, Inc.",53103,,
Phillips 66,30,phillips66.com,Phillips 66 Company,,,
Johnson & Johnson,39,jnj.com,"Johnson & Johnson Health and Wellness Solutions, Inc.",,,
Yahoo,513,yahoo.com,Yahoo! Inc.,,,
Mattel,450,mattel.com,Mattel,,,
Microsoft,25,microsoft.com,Gist LLC,34621,,
Nike,91,nike.com,"Nike, Inc. (iDP) 1",,,
Scotts,724,scotts.com,The Scotts Miracle-Gro Company,,,
Performance Food Group,185,pfgc.com,"RETALIX USA, INC",57720,,
Rockwell Automation,412,rockwellautomation.com,"Beijing IvyMobi Technology Co., Ltd.",37437,,
Abbott,138,abbott.com,Abbott,,,
AmerisourceBergen,12,amerisourcebergen.com,AmerisourceBergen Services Corporation,,,
Abercrombie & Fitch,644,abercrombie.com,Abercrombie & Fitch,,,
Avis Budget Group,330,avisbudgetgroup.com,Avis Europe plc,263726,,
Gannett,752,gannett.com,Gannett,,,
Stanley Black & Decker,256,stanleyblackanddecker.com,"Stanley Black & Decker, Inc.",,,
Citizens Bank,486,citizensbank.com,"RBS Citizens, NA",,,
Tech Data,108,techdata.com,Tech Data Corporation,,,
Allstate,81,allstate.com,"ARITY, Limited Liability Company",130127,,
CenturyLink,159,centurylink.com,"CenturyTel Service Group, LLC",,,
DISH,187,dish.com,DISH Network LLC,,,
Avnet,102,avnet.com,"Avnet, Inc.",,,
Lennar,301,lennar.com,Chatter Buzz Media LLC,335499,,
Commercial Metals,417,cmc.com,"GenieMD, LLC",343232,,
Adobe,524,adobe.com,"Adobe Systems, Inc.",,,
Domino's Pizza,915,dominos.com,Daniel Lulic,152875,33990, << Either of these could be the correct publisher
Thrivent Financial for Lutherans,318,thrivent.com,"COTRIBUTE, LLC",x,,
Caterpillar,59,caterpillar.com,Caterpillar Inc.,,,
Cigna,79,cigna.com,Connecticut General Life Insurance Company,,,
ADP,248,adp.com,"ADP, Inc",,,
Office Depot,196,officedepot.com,"Office Depot, Inc",,,
AECOM,156,aecom.com,Appquick Company Limited,369785,,
